symbol,date,open,high,low,close,volume,adjusted
TR,1988-07-12,4.273685,4.290987,4.169871,4.23908,17339,2.754977
TR,1988-07-13,4.273685,4.412104,4.273685,4.360197,33232,2.83369
TR,1988-07-14,4.360197,4.412104,4.342894,4.394801,18784,2.85618
TR,1988-07-15,4.360197,4.394801,4.360197,4.360197,4335,2.83369
TR,1988-07-18,4.394801,4.394801,4.360197,4.360197,49126,2.83369
TR,1988-07-19,4.394801,4.412104,4.377499,4.394801,14449,2.85618
TR,1988-07-20,4.360197,4.394801,4.256382,4.325592,15894,2.811201
TR,1988-07-21,4.325592,4.325592,4.325592,4.325592,0,2.811201
TR,1988-07-22,4.290987,4.290987,4.083359,4.135266,70077,2.687509
TR,1988-07-25,4.100661,4.100661,4.100661,4.100661,7224,2.665018
TR,1988-07-26,4.100661,4.135266,4.100661,4.100661,6502,2.665018
TR,1988-07-27,4.135266,4.325592,4.135266,4.290987,45514,2.788711
TR,1988-07-28,4.256382,4.394801,4.221778,4.360197,65020,2.83369
TR,1988-07-29,4.325592,4.360197,4.290987,4.360197,90306,2.83369
TR,1988-08-01,4.394801,4.394801,4.308289,4.377499,33955,2.844934
TR,1988-08-02,4.308289,4.394801,4.308289,4.360197,21673,2.83369
TR,1988-08-03,4.377499,4.377499,4.342894,4.342894,1445,2.822445
TR,1988-08-04,4.360197,4.394801,4.342894,4.360197,10114,2.83369
TR,1988-08-05,4.342894,4.342894,4.23908,4.273685,18061,2.777466
TR,1988-08-08,4.23908,4.342894,4.204475,4.308289,15171,2.799955
TR,1988-08-09,4.308289,4.342894,4.308289,4.342894,2890,2.822445
TR,1988-08-10,4.342894,4.342894,4.256382,4.290987,88138,2.788711
TR,1988-08-11,4.290987,4.325592,4.256382,4.325592,15171,2.811201
TR,1988-08-12,4.394801,4.394801,4.360197,4.377499,13004,2.844934
TR,1988-08-15,4.360197,4.394801,4.342894,4.394801,14449,2.85618
TR,1988-08-16,4.394801,4.429406,4.360197,4.394801,73689,2.85618
TR,1988-08-17,4.394801,4.429406,4.377499,4.412104,116314,2.867424
TR,1988-08-18,4.429406,4.464011,4.394801,4.394801,38290,2.85618
TR,1988-08-19,4.394801,4.394801,4.360197,4.394801,15171,2.85618
TR,1988-08-22,4.360197,4.360197,4.290987,4.290987,10114,2.788711
TR,1988-08-23,4.152568,4.221778,4.152568,4.187173,54906,2.721241
TR,1988-08-24,4.187173,4.221778,4.169871,4.221778,48404,2.743731
TR,1988-08-25,4.256382,4.273685,4.221778,4.273685,9392,2.777466
TR,1988-08-26,4.290987,4.325592,4.23908,4.256382,27453,2.76622
TR,1988-08-29,4.221778,4.256382,4.187173,4.256382,9392,2.76622
TR,1988-08-30,4.221778,4.221778,4.169871,4.169871,16616,2.709996
TR,1988-08-31,4.169871,4.204475,4.169871,4.204475,5780,2.732486
TR,1988-09-01,4.23908,4.290987,4.23908,4.256382,6502,2.76622
TR,1988-09-02,4.325592,4.360197,4.23908,4.23908,68632,2.754977
TR,1988-09-06,4.325592,4.325592,4.256382,4.256382,22396,2.76622
TR,1988-09-07,4.290987,4.290987,4.187173,4.256382,29620,2.76622
TR,1988-09-08,4.221778,4.273685,4.204475,4.273685,15171,2.777466
TR,1988-09-09,4.273685,4.273685,4.23908,4.256382,26008,2.76622
TR,1988-09-12,4.221778,4.256382,4.221778,4.256382,34677,2.76622
TR,1988-09-13,4.256382,4.256382,4.187173,4.256382,39012,2.76622
TR,1988-09-14,4.256382,4.256382,4.187173,4.256382,67187,2.76622
TR,1988-09-15,4.221778,4.256382,4.221778,4.221778,14449,2.743731
TR,1988-09-16,4.23908,4.23908,4.204475,4.23908,18061,2.754977
TR,1988-09-19,4.204475,4.204475,4.169871,4.169871,39012,2.709996
TR,1988-09-20,4.204475,4.256382,4.204475,4.23908,52016,2.754977
TR,1988-09-21,4.23908,4.23908,4.23908,4.23908,20951,2.754977
TR,1988-09-22,4.23908,4.23908,4.204475,4.204475,39012,2.732486
TR,1988-09-23,4.187173,4.187173,4.169871,4.169871,9392,2.715092
TR,1988-09-26,4.23908,4.256382,4.204475,4.204475,30343,2.737623
TR,1988-09-27,4.204475,4.204475,4.187173,4.187173,3612,2.726359
TR,1988-09-28,4.221778,4.221778,4.187173,4.187173,9392,2.726359
TR,1988-09-29,4.169871,4.204475,4.169871,4.204475,5780,2.737623
TR,1988-09-30,4.23908,4.23908,4.23908,4.23908,15171,2.760155
TR,1988-10-03,4.204475,4.204475,4.204475,4.204475,1445,2.737623
TR,1988-10-04,4.23908,4.360197,4.23908,4.360197,18784,2.839018
TR,1988-10-05,4.360197,4.394801,4.308289,4.394801,23841,2.86155
TR,1988-10-06,4.412104,4.412104,4.360197,4.360197,3612,2.839018
TR,1988-10-07,4.377499,4.429406,4.377499,4.394801,39012,2.86155
TR,1988-10-10,4.360197,4.394801,4.342894,4.394801,5057,2.86155
TR,1988-10-11,4.429406,4.446708,4.429406,4.429406,10114,2.884082
TR,1988-10-12,4.394801,4.429406,4.342894,4.342894,13004,2.827751
TR,1988-10-13,4.377499,4.412104,4.377499,4.412104,4335,2.872815
TR,1988-10-14,4.412104,4.412104,4.290987,4.290987,13726,2.793954
TR,1988-10-17,4.308289,4.308289,4.23908,4.256382,11559,2.771421
TR,1988-10-18,4.23908,4.325592,4.23908,4.290987,126428,2.793954
TR,1988-10-19,4.256382,4.290987,4.256382,4.256382,19506,2.771421
TR,1988-10-20,4.256382,4.290987,4.256382,4.256382,6502,2.771421
TR,1988-10-21,4.273685,4.360197,4.256382,4.360197,46236,2.839018
TR,1988-10-24,4.394801,4.394801,4.325592,4.360197,15171,2.839018
TR,1988-10-25,4.325592,4.412104,4.325592,4.412104,7224,2.872815
TR,1988-10-26,4.377499,4.394801,4.290987,4.394801,35400,2.86155
TR,1988-10-27,4.360197,4.360197,4.308289,4.308289,41179,2.805219
TR,1988-10-28,4.308289,4.394801,4.290987,4.360197,90306,2.839018
TR,1988-10-31,4.360197,4.412104,4.342894,4.412104,19506,2.872815
TR,1988-11-01,4.377499,4.412104,4.342894,4.342894,10837,2.827751
TR,1988-11-02,4.377499,4.377499,4.342894,4.342894,18061,2.827751
TR,1988-11-03,4.342894,4.394801,4.342894,4.360197,4335,2.839018
TR,1988-11-04,4.325592,4.325592,4.308289,4.308289,9392,2.805219
TR,1988-11-07,4.308289,4.308289,4.273685,4.290987,49126,2.793954
TR,1988-11-08,4.290987,4.325592,4.273685,4.290987,45514,2.793954
TR,1988-11-09,4.273685,4.273685,4.256382,4.256382,17339,2.771421
TR,1988-11-10,4.273685,4.273685,4.221778,4.221778,30343,2.74889
TR,1988-11-11,4.221778,4.221778,4.152568,4.152568,38290,2.703825
TR,1988-11-14,4.117963,4.152568,4.100661,4.100661,58518,2.670029
TR,1988-11-15,4.083359,4.117963,4.083359,4.100661,11559,2.670029
TR,1988-11-16,4.100661,4.135266,4.014149,4.014149,11559,2.613699
TR,1988-11-17,3.996847,4.048754,3.996847,4.048754,30343,2.636231
TR,1988-11-18,4.083359,4.083359,4.014149,4.083359,11559,2.658762
TR,1988-11-21,4.048754,4.048754,3.996847,3.996847,9392,2.602433
TR,1988-11-22,3.996847,4.014149,3.996847,3.996847,36845,2.602433
TR,1988-11-23,3.996847,4.014149,3.979544,3.979544,36845,2.591166
TR,1988-11-25,4.014149,4.014149,3.94494,3.94494,10114,2.568635
TR,1988-11-28,3.927637,3.962242,3.927637,3.962242,39012,2.579901
TR,1988-11-29,3.962242,3.996847,3.927637,3.996847,10114,2.602433
TR,1988-11-30,4.014149,4.031452,4.014149,4.031452,20228,2.624967
TR,1988-12-01,4.066056,4.152568,4.066056,4.152568,16616,2.703825
TR,1988-12-02,4.152568,4.152568,4.117963,4.117963,1445,2.681294
TR,1988-12-05,4.083359,4.117963,4.048754,4.083359,26730,2.658762
TR,1988-12-06,4.083359,4.100661,4.066056,4.100661,39734,2.670029
TR,1988-12-07,4.083359,4.135266,4.083359,4.135266,18061,2.692561
TR,1988-12-08,4.100661,4.100661,4.100661,4.100661,4335,2.670029
TR,1988-12-09,4.100661,4.100661,4.100661,4.100661,5057,2.670029
TR,1988-12-12,4.100661,4.169871,4.100661,4.135266,26730,2.692561
TR,1988-12-13,4.152568,4.187173,4.117963,4.117963,10114,2.681294
TR,1988-12-14,4.117963,4.117963,4.117963,4.117963,15171,2.681294
TR,1988-12-15,4.117963,4.117963,4.117963,4.117963,0,2.681294
TR,1988-12-16,4.100661,4.117963,4.083359,4.117963,80191,2.686441
TR,1988-12-19,4.152568,4.152568,4.100661,4.117963,20951,2.686441
TR,1988-12-20,4.117963,4.117963,4.117963,4.117963,13004,2.686441
TR,1988-12-21,4.117963,4.187173,4.117963,4.187173,53461,2.731592
TR,1988-12-22,4.221778,4.273685,4.221778,4.23908,4335,2.765455
TR,1988-12-23,4.273685,4.273685,4.23908,4.23908,2890,2.765455
TR,1988-12-27,4.273685,4.273685,4.169871,4.169871,9392,2.720304
TR,1988-12-28,4.169871,4.23908,4.117963,4.23908,26008,2.765455
TR,1988-12-29,4.204475,4.221778,4.117963,4.135266,15894,2.69773
TR,1988-12-30,4.135266,4.152568,4.135266,4.152568,23118,2.709016
TR,1989-01-03,4.152568,4.152568,4.135266,4.135266,6502,2.69773
TR,1989-01-04,4.221778,4.23908,4.221778,4.221778,23118,2.754168
TR,1989-01-05,4.187173,4.187173,4.135266,4.135266,6502,2.69773
TR,1989-01-06,4.135266,4.221778,4.083359,4.221778,29620,2.754168
TR,1989-01-09,4.187173,4.187173,4.187173,4.187173,1445,2.731592
TR,1989-01-10,4.152568,4.152568,4.083359,4.083359,23118,2.663865
TR,1989-01-11,4.048754,4.066056,3.996847,4.014149,42624,2.618715
TR,1989-01-12,3.979544,3.979544,3.87573,3.87573,67910,2.528415
TR,1989-01-13,3.910335,3.996847,3.910335,3.996847,22396,2.607429
TR,1989-01-16,3.996847,3.996847,3.996847,3.996847,10837,2.607429
TR,1989-01-17,4.014149,4.014149,3.94494,3.94494,17339,2.573567
TR,1989-01-18,3.927637,3.962242,3.841126,3.841126,111256,2.505841
TR,1989-01-19,3.858428,3.87573,3.737311,3.806521,130762,2.483265
TR,1989-01-20,3.806521,3.806521,3.806521,3.806521,23841,2.483265
TR,1989-01-23,3.806521,3.806521,3.754614,3.754614,46959,2.449403
TR,1989-01-24,3.771916,3.806521,3.771916,3.789218,112701,2.471977
TR,1989-01-25,3.823823,3.823823,3.789218,3.789218,24563,2.471977
TR,1989-01-26,3.771916,3.771916,3.771916,3.771916,722,2.46069
TR,1989-01-27,3.806521,3.806521,3.789218,3.806521,10114,2.483265
TR,1989-01-30,3.806521,3.806521,3.789218,3.806521,4335,2.483265
TR,1989-01-31,3.789218,3.841126,3.789218,3.841126,27453,2.505841
TR,1989-02-01,3.806521,3.823823,3.789218,3.806521,16616,2.483265
TR,1989-02-02,3.823823,3.823823,3.789218,3.789218,2167,2.471977
TR,1989-02-03,3.789218,3.806521,3.771916,3.771916,46236,2.46069
TR,1989-02-06,3.771916,3.841126,3.771916,3.789218,17339,2.471977
TR,1989-02-07,3.823823,3.858428,3.823823,3.823823,10837,2.494553
TR,1989-02-08,3.823823,3.858428,3.823823,3.823823,61408,2.494553
TR,1989-02-09,3.858428,3.858428,3.771916,3.771916,57073,2.46069
TR,1989-02-10,3.789218,3.789218,3.754614,3.754614,12282,2.449403
TR,1989-02-13,3.754614,3.754614,3.737311,3.754614,21673,2.449403
TR,1989-02-14,3.754614,3.806521,3.754614,3.806521,50571,2.483265
TR,1989-02-15,3.771916,3.841126,3.771916,3.841126,26008,2.505841
TR,1989-02-16,3.806521,3.87573,3.806521,3.87573,31788,2.528415
TR,1989-02-17,3.841126,3.87573,3.789218,3.789218,72244,2.471977
TR,1989-02-21,3.789218,3.806521,3.754614,3.771916,65020,2.46069
TR,1989-02-22,3.806521,3.806521,3.737311,3.737311,46959,2.438114
TR,1989-02-23,3.737311,3.754614,3.702707,3.702707,49126,2.41554
TR,1989-02-24,3.668102,3.737311,3.460473,3.512381,147379,2.291378
TR,1989-02-27,3.529683,3.6508,3.529683,3.58159,67187,2.336527
TR,1989-02-28,3.598892,3.598892,3.546985,3.564288,72967,2.325239
TR,1989-03-01,3.598892,3.668102,3.546985,3.564288,53461,2.325239
TR,1989-03-02,3.58159,3.616195,3.58159,3.58159,62130,2.336527
TR,1989-03-03,3.616195,3.6508,3.598892,3.6508,37567,2.381677
TR,1989-03-06,3.616195,3.771916,3.616195,3.737311,46959,2.438114
